"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGDEBT","TOT","PC_GDP","A","2016",68.39156,
"AUS","GGDEBT","TOT","PC_GDP","A","2017",65.60463,
"AUS","GGDEBT","TOT","PC_GDP","A","2018",65.89544,
"AUS","GGDEBT","TOT","PC_GDP","A","2019",75.67439,
"AUT","GGDEBT","TOT","PC_GDP","A","2016",102.5335,
"AUT","GGDEBT","TOT","PC_GDP","A","2017",96.54689,
"AUT","GGDEBT","TOT","PC_GDP","A","2018",90.95426,
"AUT","GGDEBT","TOT","PC_GDP","A","2019",88.89411,
"BEL","GGDEBT","TOT","PC_GDP","A","2016",127.6711,
"BEL","GGDEBT","TOT","PC_GDP","A","2017",120.8667,
"BEL","GGDEBT","TOT","PC_GDP","A","2018",117.6529,
"BEL","GGDEBT","TOT","PC_GDP","A","2019",120.2191,
"CAN","GGDEBT","TOT","PC_GDP","A","2016",114.1487,
"CAN","GGDEBT","TOT","PC_GDP","A","2017",108.5559,
"CAN","GGDEBT","TOT","PC_GDP","A","2018",107.3827,
"CAN","GGDEBT","TOT","PC_GDP","A","2019",106.6808,
"CZE","GGDEBT","TOT","PC_GDP","A","2016",47.43294,
"CZE","GGDEBT","TOT","PC_GDP","A","2017",43.32781,
"CZE","GGDEBT","TOT","PC_GDP","A","2018",39.73836,
"CZE","GGDEBT","TOT","PC_GDP","A","2019",37.73466,
"DNK","GGDEBT","TOT","PC_GDP","A","2016",55.11341,
"DNK","GGDEBT","TOT","PC_GDP","A","2017",52.54022,
"DNK","GGDEBT","TOT","PC_GDP","A","2018",50.82243,
"DNK","GGDEBT","TOT","PC_GDP","A","2019",51.41344,
"FIN","GGDEBT","TOT","PC_GDP","A","2016",75.60892,
"FIN","GGDEBT","TOT","PC_GDP","A","2017",73.04077,
"FIN","GGDEBT","TOT","PC_GDP","A","2018",69.87796,
"FIN","GGDEBT","TOT","PC_GDP","A","2019",69.7633,
"FIN","GGDEBT","TOT","PC_GDP","A","2020",81.65429,
"FRA","GGDEBT","TOT","PC_GDP","A","2016",123.6707,
"FRA","GGDEBT","TOT","PC_GDP","A","2017",122.9442,
"FRA","GGDEBT","TOT","PC_GDP","A","2018",121.3599,
"FRA","GGDEBT","TOT","PC_GDP","A","2019",123.9643,
"DEU","GGDEBT","TOT","PC_GDP","A","2016",77.22083,
"DEU","GGDEBT","TOT","PC_GDP","A","2017",72.78644,
"DEU","GGDEBT","TOT","PC_GDP","A","2018",69.58807,
"DEU","GGDEBT","TOT","PC_GDP","A","2019",68.22754,
"GRC","GGDEBT","TOT","PC_GDP","A","2016",189.4006,
"GRC","GGDEBT","TOT","PC_GDP","A","2017",192.7498,
"GRC","GGDEBT","TOT","PC_GDP","A","2018",199.0986,
"GRC","GGDEBT","TOT","PC_GDP","A","2019",200.2388,
"HUN","GGDEBT","TOT","PC_GDP","A","2016",98.76281,
"HUN","GGDEBT","TOT","PC_GDP","A","2017",93.12068,
"HUN","GGDEBT","TOT","PC_GDP","A","2018",86.56531,
"HUN","GGDEBT","TOT","PC_GDP","A","2019",83.49159,
"HUN","GGDEBT","TOT","PC_GDP","A","2020",97.53915,
"IRL","GGDEBT","TOT","PC_GDP","A","2016",84.91689,
"IRL","GGDEBT","TOT","PC_GDP","A","2017",75.73866,
"IRL","GGDEBT","TOT","PC_GDP","A","2018",74.37717,
"IRL","GGDEBT","TOT","PC_GDP","A","2019",68.8168,
"ITA","GGDEBT","TOT","PC_GDP","A","2016",154.5501,
"ITA","GGDEBT","TOT","PC_GDP","A","2017",151.9975,
"ITA","GGDEBT","TOT","PC_GDP","A","2018",146.7885,
"ITA","GGDEBT","TOT","PC_GDP","A","2019",154.5051,
"JPN","GGDEBT","TOT","PC_GDP","A","2016",235.7609,
"JPN","GGDEBT","TOT","PC_GDP","A","2017",234.0426,
"JPN","GGDEBT","TOT","PC_GDP","A","2018",238.7264,
"LUX","GGDEBT","TOT","PC_GDP","A","2016",27.86612,
"LUX","GGDEBT","TOT","PC_GDP","A","2017",29.65228,
"LUX","GGDEBT","TOT","PC_GDP","A","2018",28.83572,
"LUX","GGDEBT","TOT","PC_GDP","A","2019",29.95823,
"MEX","GGDEBT","TOT","PC_GDP","A","2016",52.84832,
"MEX","GGDEBT","TOT","PC_GDP","A","2017",53.22276,
"MEX","GGDEBT","TOT","PC_GDP","A","2018",55.7872,
"MEX","GGDEBT","TOT","PC_GDP","A","2019",59.29549,
"NLD","GGDEBT","TOT","PC_GDP","A","2016",77.63338,
"NLD","GGDEBT","TOT","PC_GDP","A","2017",70.86796,
"NLD","GGDEBT","TOT","PC_GDP","A","2018",66.02966,
"NLD","GGDEBT","TOT","PC_GDP","A","2019",62.45762,
"NOR","GGDEBT","TOT","PC_GDP","A","2016",44.2576,
"NOR","GGDEBT","TOT","PC_GDP","A","2017",44.66471,
"NOR","GGDEBT","TOT","PC_GDP","A","2018",45.34084,
"NOR","GGDEBT","TOT","PC_GDP","A","2019",46.68689,
"NOR","GGDEBT","TOT","PC_GDP","A","2020",53.63881,
"POL","GGDEBT","TOT","PC_GDP","A","2016",73.00764,
"POL","GGDEBT","TOT","PC_GDP","A","2017",68.7151,
"POL","GGDEBT","TOT","PC_GDP","A","2018",66.75915,
"POL","GGDEBT","TOT","PC_GDP","A","2019",63.43235,
"PRT","GGDEBT","TOT","PC_GDP","A","2016",144.3118,
"PRT","GGDEBT","TOT","PC_GDP","A","2017",143.1314,
"PRT","GGDEBT","TOT","PC_GDP","A","2018",137.2647,
"PRT","GGDEBT","TOT","PC_GDP","A","2019",135.9755,
"PRT","GGDEBT","TOT","PC_GDP","A","2020",155.1111,
"SVK","GGDEBT","TOT","PC_GDP","A","2016",67.74002,
"SVK","GGDEBT","TOT","PC_GDP","A","2017",65.5633,
"SVK","GGDEBT","TOT","PC_GDP","A","2018",63.46797,
"SVK","GGDEBT","TOT","PC_GDP","A","2019",63.35809,
"ESP","GGDEBT","TOT","PC_GDP","A","2016",117.3305,
"ESP","GGDEBT","TOT","PC_GDP","A","2017",115.7774,
"ESP","GGDEBT","TOT","PC_GDP","A","2018",114.5066,
"ESP","GGDEBT","TOT","PC_GDP","A","2019",117.3167,
"ESP","GGDEBT","TOT","PC_GDP","A","2020",146.7464,
